2024-02-24 08:38:57,376 [Thread-12 (run_client)] [INFO] {'Transmission Speed (bps)': 193.7262144538525, 'Transmission Delay (s)': 0.5781354904174805, 'Propagation Delay (s)': 0.04479285972488057, 'Round Trip Time (s)': 0.01653674347030986, 'End-to-End Delay (s)': 0.6394650936126709}
2024-02-24 08:38:57,376 [Thread-16 (run_client)] [INFO] {'Transmission Speed (bps)': 1787.1799917063279, 'Transmission Delay (s)': 0.0626685619354248, 'Propagation Delay (s)': 0.03856929632920564, 'Round Trip Time (s)': 0.022760306865984792, 'End-to-End Delay (s)': 0.12399816513061523}
2024-02-24 08:38:57,376 [Thread-2 (run_client)] [INFO] {'Transmission Speed (bps)': 1430.530959276211, 'Transmission Delay (s)': 0.0782926082611084, 'Propagation Delay (s)': 0.04496218574755214, 'Round Trip Time (s)': 0.01636741744763829, 'End-to-End Delay (s)': 0.13962221145629883}
2024-02-24 08:38:57,376 [Thread-4 (run_client)] [INFO] {'Transmission Speed (bps)': 188.62854921763824, 'Transmission Delay (s)': 0.5937595367431641, 'Propagation Delay (s)': 0.022616353459371595, 'Round Trip Time (s)': 0.038713249735818835, 'End-to-End Delay (s)': 0.6550891399383545}
2024-02-24 08:38:57,376 [Thread-11 (run_client)] [INFO] {'Transmission Speed (bps)': 193.7262144538525, 'Transmission Delay (s)': 0.5781354904174805, 'Propagation Delay (s)': 0.027815887197057222, 'Round Trip Time (s)': 0.03351371599813321, 'End-to-End Delay (s)': 0.6394650936126709}
2024-02-24 08:38:57,376 [Thread-5 (run_client)] [INFO] {'Transmission Speed (bps)': 1787.1799917063279, 'Transmission Delay (s)': 0.0626685619354248, 'Propagation Delay (s)': 0.01798717094695767, 'Round Trip Time (s)': 0.04334243224823276, 'End-to-End Delay (s)': 0.12399816513061523}
2024-02-24 08:38:57,376 [Thread-7 (run_client)] [INFO] {'Transmission Speed (bps)': 193.7262144538525, 'Transmission Delay (s)': 0.5781354904174805, 'Propagation Delay (s)': 0.04185544513956206, 'Round Trip Time (s)': 0.01947415805562837, 'End-to-End Delay (s)': 0.6394650936126709}
2024-02-24 08:38:57,376 [Thread-1 (run_client)] [INFO] {'Transmission Speed (bps)': 1430.530959276211, 'Transmission Delay (s)': 0.0782926082611084, 'Propagation Delay (s)': 0.02901253413115811, 'Round Trip Time (s)': 0.03231706906403232, 'End-to-End Delay (s)': 0.13962221145629883}
2024-02-24 08:38:57,479 [Thread-20 (run_client)] [INFO] {'Transmission Speed (bps)': 1960.0042057127598, 'Transmission Delay (s)': 0.05714273452758789, 'Propagation Delay (s)': 0.036907993608953464, 'Round Trip Time (s)': 0.025523103421686184, 'End-to-End Delay (s)': 0.11957383155822754}
2024-02-24 08:38:57,479 [Thread-18 (run_client)] [INFO] {'Transmission Speed (bps)': 1960.0042057127598, 'Transmission Delay (s)': 0.05714273452758789, 'Propagation Delay (s)': 0.0271053246400403, 'Round Trip Time (s)': 0.03532577239059935, 'End-to-End Delay (s)': 0.11957383155822754}
